,name,content,date,like,place,tags,link,follower,follow,con_count
189,하이웨스트익선,일찍 만나서 늦게까지 진짜ㅋㅋㅋㅋㅋ 너무 많이 떠들고 맛있는걸 너무 많이 먹은 날😋😋ㅋㅋㅋㅋㅋㅋ 진짜 재밌었다‼️역시 입도 한번씩 풀어줘야함을 느낀 날😆...#서울 #익선동 #나들이 #가을 #가을나들이 #종로3가 #을지로3가 #맛집 #종로3가맛집 #종로3가카페 #존잼 #존맛 #꿀잼 #르블란서 #르블란서🇫🇷 #르블란서_프랑스가정식 #때때롯살롱 #까페 #까페하이웨스트 #하이웨스트익선 #오얏꽃 #커피 #와플 #크러플,2020-11-17,43,익선동,"['#서울', '#익선동', '#나들이', '#가을', '#가을나들이', '#종로3가', '#을지로3가', '#맛집', '#종로3가맛집', '#종로3가카페', '#존잼', '#존맛', '#꿀잼', '#르블란서', '#르블란서🇫🇷', '#르블란서_프랑스가정식', '#때때롯살롱', '#까페', '#까페하이웨스트', '#하이웨스트익선', '#오얏꽃', '#커피', '#와플', '#크러플']",https://www.instagram.com/yoyoeunji/,194,300,99
190,하이웨스트익선,"🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁일일 2카페,진짜 여긴 최고야😻디저트 하나하나 다 맛있음,라즈베리 별로 안좋아하는데 이것 조차 맛있고,카페라떼도 맛있고,착즙 오렌지주스도 진짜진짜 맛있어,맛 없는거 뭐예요?!!!🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁🍰🧁#서울 #종로 #돈의동 #익선동 #카페 #하이웨스트익선 #서울카페 #종로카페 #돈의동카페 #익선동카페 #서울디저트카페 #종로디저트카페 #돈의동디저트카페 #익선동디저트카페 #맛스타그램 #먹스타그램 #서울뇨행 #데일리룩 #옷스타그램 #ootd #dailylook",2020-11-17,46,,"['#서울', '#종로', '#돈의동', '#익선동', '#카페', '#하이웨스트익선', '#서울카페', '#종로카페', '#돈의동카페', '#익선동카페', '#서울디저트카페', '#종로디저트카페', '#돈의동디저트카페', '#익선동디저트카페', '#맛스타그램', '#먹스타그램', '#서울뇨행', '#데일리룩', '#옷스타그램', '#ootd', '#dailylook']",https://www.instagram.com/hyang_nyonyo/,692,96,824
191,하이웨스트익선,-예쁜걸 보니 마음이 예뻐지는 느낌이랄까. 그냥 휴가니까 그저 설레였을수도.-악-너무 귀여운데 어찌 먹어?! 했지만포크로 열심히 퍼먹었어. 긔여운건 잠시라고.-인생 뭐 있나. 웃고 즐기는 거지 뭐.,2020-11-17,44,하이웨스트익선,[],https://www.instagram.com/__misty_blue/,134,182,133
192,하이웨스트익선,-휴가의 첫 시작은 하이웨스트 익선에서. 웨이팅 없는 오전 11시 눈치게임은 성공적이었다. 그림같았던 디저트류와 카페 분위기가 너무 좋았다지.-,2020-11-17,37,하이웨스트익선,[],https://www.instagram.com/__misty_blue/,134,182,133
193,하이웨스트익선,-빨갛고 노랗게 물든 가을.더 늦기전에 휴가가 시작되었다.-매년 함께해주는 친구와 서울 나들이.이 날 궁의 매력에 빠졌어.,2020-11-16,36,운현궁,[],https://www.instagram.com/__misty_blue/,134,182,133
194,하이웨스트익선,#빵순이의날 😌,2020-11-17,20,하이웨스트익선,['#빵순이의날'],https://www.instagram.com/allie__felicite/,26,15,12
195,하이웨스트익선,--.오늘은 #익선동나들이👭 #온천집 은 맛있었고#하이웨스트익선 은 넘 예쁜 공간😍행복한 나들이었다❤..#익선동카페 #익선동맛집,2020-11-17,46,익선동,"['#익선동나들이👭', '#온천집', '#하이웨스트익선', '#익선동카페', '#익선동맛집']",https://www.instagram.com/imdeer_ny/,1635,539,"1,702"
196,하이웨스트익선,_강한 햇빛이 실내 안에 맴돌고#햇빛 줄기가 테이블 위에 내리쬐던 곳정말 #좋아하는 프레첼이 다양하게 있어서볼 때도 흐뭇 먹을 때도 흐뭇쇼핑백 가득 포장하고서 카페를 나설 때도 #흐뭇,2020-11-17,18,하이웨스트익선,"['#햇빛', '#좋아하는', '#흐뭇']",https://www.instagram.com/tabula_lasa/,16,79,10
197,하이웨스트익선,"익선동,---주말 아침에 익선동이였더라니 😍#빵집미쿡스러움#미국한번도안가봄#가보거싶다미쿡#이름이뭐였더라#스콘짱맛#익선동빵집#익선동맛집#베이커리#익선동#하이웨스트익선",2020-11-17,24,,"['#빵집미쿡스러움', '#미국한번도안가봄', '#가보거싶다미쿡', '#이름이뭐였더라', '#스콘짱맛', '#익선동빵집', '#익선동맛집', '#베이커리', '#익선동', '#하이웨스트익선']",https://www.instagram.com/jjeeyy1027/,374,382,"3,042"
198,하이웨스트익선,맨날 배부를때 가서 디저트 못 먹음😭..#일상#데일리#서울#종로#하이웨스트익선#하이웨스트#익선동#맛집#카페#팔로우#감성#소통#분위기#좋아요#선팔#사진#기록#추억#휴식#힐링#빈티지#인테리어#직장인#저녁#소확행#친스타그램#데이트#나들이#먹스타그램#맛스타그램,2020-11-16,23,하이웨스트익선,"['#일상', '#데일리', '#서울', '#종로', '#하이웨스트익선', '#하이웨스트', '#익선동', '#맛집', '#카페', '#팔로우', '#감성', '#소통', '#분위기', '#좋아요', '#선팔', '#사진', '#기록', '#추억', '#휴식', '#힐링', '#빈티지', '#인테리어', '#직장인', '#저녁', '#소확행', '#친스타그램', '#데이트', '#나들이', '#먹스타그램', '#맛스타그램']",https://www.instagram.com/sssswwwaay/,72,15,48
199,하이웨스트익선,자리없어서 다시 빠꾸.. ㅠ,2020-11-16,48,,[],https://www.instagram.com/0113_ys/,526,344,332
200,하이웨스트익선,"2020.11.14.분위기 너무 예뻤구, 스콘 너무 맛있자나 😍단골 예약하겠습니다 삐빅..#하이웨스트익선 #익선동카페",2020-11-16,40,하이웨스트익선,"['#하이웨스트익선', '#익선동카페']",https://www.instagram.com/minmean._.kk/,125,341,146
201,하이웨스트익선,디져트 중 스콘 제일 됴아해🤍,2020-11-16,69,하이웨스트익선,[],https://www.instagram.com/da___nini/,2413,314,"1,362"
202,하이웨스트익선,귀여운 몽몽이산타🎅🏻🎄❤️,2020-11-13,92,하이웨스트익선,[],https://www.instagram.com/da___nini/,2413,314,"1,362"
203,하이웨스트익선,#익선동 #하이웨스트익선 #훈훈한직원분들 #행복하다,2020-11-16,19,,"['#익선동', '#하이웨스트익선', '#훈훈한직원분들', '#행복하다']",https://www.instagram.com/k_k_eun/,111,170,38
204,하이웨스트익선,또 가야지..!...#데일리그램 #카페 #카페스타그램 #익선동 #하이웨스트 #하이웨스트익선 #종로 #빵 #빵스타그램 #인스타 #인스타그램 #쫀득쫀득 #맛있드 #종류별로 #다사기 #또 #가자 #좋아요 #좋아요그램,2020-11-16,75,,"['#데일리그램', '#카페', '#카페스타그램', '#익선동', '#하이웨스트', '#하이웨스트익선', '#종로', '#빵', '#빵스타그램', '#인스타', '#인스타그램', '#쫀득쫀득', '#맛있드', '#종류별로', '#다사기', '#또', '#가자', '#좋아요', '#좋아요그램']",https://www.instagram.com/sena_han/,345,324,60
205,하이웨스트익선,눈호강🍰🧁,2020-11-16,129,익선동,[],https://www.instagram.com/ss._.olll/,194,113,27
206,하이웨스트익선,기분이 좋아지는 곳 🍰🧁🥨🥖#하이웨스트익선,2020-11-16,54,하이웨스트익선,['#하이웨스트익선'],https://www.instagram.com/spring_ariana/,186,130,196
207,하이웨스트익선,여기는 입구가 맛집이구만 그래~#서울 #익선동카페 #하이웨스트익선,2020-11-16,84,,"['#서울', '#익선동카페', '#하이웨스트익선']",https://www.instagram.com/hae_min.lee/,482,165,4
208,하이웨스트익선,⠀서울에서 즐기는 유럽감성 카페모음⠀@cafe.issue <— 더 많은 카페 정보⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀#카페스타그램 #카페추천 #유럽카페 #유럽감성 #유럽감성카페 #이시국에 #유럽은 #못가도 #분위기라도 #내보자 #리틀버틀러 #하이웨스트익선 #와필레 #파운야드베이크샵 #떼헤브 #꼬앙드파리 #버터북 #67soho #꾸에바마테라,2020-11-16,331,한국에서 찾는 유럽여행,"['#카페스타그램', '#카페추천', '#유럽카페', '#유럽감성', '#유럽감성카페', '#이시국에', '#유럽은', '#못가도', '#분위기라도', '#내보자', '#리틀버틀러', '#하이웨스트익선', '#와필레', '#파운야드베이크샵', '#떼헤브', '#꼬앙드파리', '#버터북', '#67soho', '#꾸에바마테라']",https://www.instagram.com/cafe.issue/,3453,278,343
209,하이웨스트익선,#종로 #익선동카페 #익선동 #하이웨스트익선 #스콘맛집 #빵순이 #빵투어 #scone #ootd #dailylook #monday #off #cafetour,2020-11-16,173,익선동,"['#종로', '#익선동카페', '#익선동', '#하이웨스트익선', '#스콘맛집', '#빵순이', '#빵투어', '#scone', '#ootd', '#dailylook', '#monday', '#off', '#cafetour']",https://www.instagram.com/1224.0229/,639,391,170
210,하이웨스트익선,빵순이의 #빵 투어 🥨🌿,2020-11-16,42,하이웨스트익선,['#빵'],https://www.instagram.com/1224.0229/,639,391,170
211,하이웨스트익선,첫번째손님🎵#익선동 #하이웨스트익선,2020-11-16,21,"Seoul, Korea","['#익선동', '#하이웨스트익선']",https://www.instagram.com/petit_petit_ya/,83,211,162
212,하이웨스트익선,유럽여행 못가면 국내유럽이라도..............#카페투어 #맛집 #하이웨스트익선 #하이웨스트 #익산맛집 #맛집추천 #맛집탐방,2020-11-16,13,,"['#카페투어', '#맛집', '#하이웨스트익선', '#하이웨스트', '#익산맛집', '#맛집추천', '#맛집탐방']",https://www.instagram.com/dae.moongs2/,23,1,33
213,하이웨스트익선,#빵스타그램 🥨요즘 자꾸 자꾸 빵이 먹고싶어요😅다이어트한다고 큰소리 쳤는데 일단 빵 원없이 하루먹고 시작해야겠어요🤣세상엔 정말 맛집천지네요😍#하이웨스트익선 보기도 좋고 맛도 좋아서늘 사랑하는곳이지요👍🏻#헝키도리일상 #빵맛집 #익선맛집,2020-11-16,87,익선동,"['#빵스타그램', '#하이웨스트익선', '#헝키도리일상', '#빵맛집', '#익선맛집']",https://www.instagram.com/hunky._.dory/,651,390,494
